S,N,IPC
8,2,0.5209
16,2,0.5209
32,2,0.5209
64,2,0.5209
128,2,0.5209
256,2,0.5209
8,4,1.028
16,4,1.0404
32,4,1.0414
64,4,1.0411
128,4,1.0413
256,4,1.0411
8,8,1.7513
16,8,1.9972
32,8,2.0695
64,8,2.0807
128,8,2.0799
256,8,2.0807
